anio,cant_recorridos_anuales_ecobici,cant_estaciones_ecobici,cant_recorridos_anuales_general,dif_gen_i_menos_ecobici_i,dif_gen_i_menos_ecobici_h,dif_gen_i_menos_ecobici_j,variacion_recorridos_generales_anual,cobertura_pct
2012,663406,54,NA,NA,NA,NA,NA,NA
2013,1067633,62,51654438,50586805,50991032,50584832,NA,2.1
2014,1069606,65,55030358,53960752,53962725,54527106,3375920,1.9
2015,503252,174,57707558,57204306,56637952,57110751,2677200,0.9
2016,596807,198,56204695,55607888,55701443,55156537,-1502863,1.1
2017,1048158,390,62469335,61421177,61872528,NA,6264640,1.7
2018,NA,NA,76474446,NA,75426288,NA,14005111,NA
2019,NA,NA,94897851,NA,NA,NA,18423405,NA
